n_packets,node_id,node_addr,time,packet_size
163,2,10.1.2.2,0.161934,128
164,2,10.1.2.2,0.163958,128
165,2,10.1.2.2,0.164782,128
166,2,10.1.2.2,0.16528,128
167,2,10.1.2.2,0.16556,128
168,2,10.1.2.2,0.16584,128
169,2,10.1.2.2,0.166236,128
170,2,10.1.2.2,0.167457,128
171,2,10.1.2.2,0.167737,128
172,2,10.1.2.2,0.168568,128
173,2,10.1.2.2,0.168925,128
174,2,10.1.2.2,0.170752,128
175,2,10.1.2.2,0.171847,128
176,2,10.1.2.2,0.173358,128
177,2,10.1.2.2,0.173823,128
178,2,10.1.2.2,0.174103,128
179,2,10.1.2.2,0.174985,128
180,2,10.1.2.2,0.175701,128
181,2,10.1.2.2,0.175981,128
182,2,10.1.2.2,0.17643,128
183,2,10.1.2.2,0.177499,128
184,2,10.1.2.2,0.178371,128
185,2,10.1.2.2,0.17872,128
186,2,10.1.2.2,0.179,128
187,2,10.1.2.2,0.181792,128
188,2,10.1.2.2,0.182611,128
189,2,10.1.2.2,0.182891,128
190,2,10.1.2.2,0.183628,128
191,2,10.1.2.2,0.185595,128
192,2,10.1.2.2,0.186709,128
193,2,10.1.2.2,0.187186,128
194,2,10.1.2.2,0.188835,128
195,2,10.1.2.2,0.189115,128
196,2,10.1.2.2,0.189573,128
197,2,10.1.2.2,0.189952,128
198,2,10.1.2.2,0.190473,128
199,2,10.1.2.2,0.191954,128
200,2,10.1.2.2,0.192328,128
201,2,10.1.2.2,0.195296,128
202,2,10.1.2.2,0.195576,128
203,2,10.1.2.2,0.196589,128
204,2,10.1.2.2,0.1979,128
205,2,10.1.2.2,0.199818,128
206,2,10.1.2.2,0.200098,128
207,2,10.1.2.2,0.200378,128
208,2,10.1.2.2,0.201431,128
209,2,10.1.2.2,0.201711,128
210,2,10.1.2.2,0.201991,128
211,2,10.1.2.2,0.202271,128
212,2,10.1.2.2,0.202593,128
213,2,10.1.2.2,0.202873,128
214,2,10.1.2.2,0.203386,128
215,2,10.1.2.2,0.205608,128
216,2,10.1.2.2,0.206495,128
217,2,10.1.2.2,0.206775,128
218,2,10.1.2.2,0.209663,128
219,2,10.1.2.2,0.210062,128
220,2,10.1.2.2,0.211364,128
221,2,10.1.2.2,0.211644,128
222,2,10.1.2.2,0.211924,128
223,2,10.1.2.2,0.212625,128
224,2,10.1.2.2,0.21294,128
225,2,10.1.2.2,0.21322,128
226,2,10.1.2.2,0.213836,128
227,2,10.1.2.2,0.214946,128
228,2,10.1.2.2,0.215271,128
229,2,10.1.2.2,0.215551,128
230,2,10.1.2.2,0.216634,128
231,2,10.1.2.2,0.21699,128
232,2,10.1.2.2,0.217352,128
233,2,10.1.2.2,0.21838,128
234,2,10.1.2.2,0.219318,128
235,2,10.1.2.2,0.220404,128
236,2,10.1.2.2,0.220684,128
237,2,10.1.2.2,0.220964,128
238,2,10.1.2.2,0.221282,128
239,2,10.1.2.2,0.221562,128
240,2,10.1.2.2,0.221842,128
241,2,10.1.2.2,0.222122,128
242,2,10.1.2.2,0.222402,128
243,2,10.1.2.2,0.222682,128
244,2,10.1.2.2,0.225822,128
245,2,10.1.2.2,0.228089,128
246,2,10.1.2.2,0.228907,128
247,2,10.1.2.2,0.229632,128
248,2,10.1.2.2,0.229912,128
249,2,10.1.2.2,0.230192,128
250,2,10.1.2.2,0.230708,128
251,2,10.1.2.2,0.23179,128
252,2,10.1.2.2,0.232451,128
253,2,10.1.2.2,0.233366,128
254,2,10.1.2.2,0.234643,128
255,2,10.1.2.2,0.236073,128
256,2,10.1.2.2,0.236473,128
257,2,10.1.2.2,0.237816,128
258,2,10.1.2.2,0.239554,128
259,2,10.1.2.2,0.239852,128
260,2,10.1.2.2,0.241232,128
261,2,10.1.2.2,0.241851,128
262,2,10.1.2.2,0.243587,128
263,2,10.1.2.2,0.243888,128
264,2,10.1.2.2,0.244168,128
265,2,10.1.2.2,0.245122,128
266,2,10.1.2.2,0.246888,128
267,2,10.1.2.2,0.247363,128
268,2,10.1.2.2,0.247965,128
269,2,10.1.2.2,0.24886,128
270,2,10.1.2.2,0.24914,128
271,2,10.1.2.2,0.24942,128
272,2,10.1.2.2,0.249722,128
273,2,10.1.2.2,0.250002,128
274,2,10.1.2.2,0.251524,128
275,2,10.1.2.2,0.25419,128
276,2,10.1.2.2,0.25447,128
277,2,10.1.2.2,0.255435,128
278,2,10.1.2.2,0.256382,128
279,2,10.1.2.2,0.260507,128
280,2,10.1.2.2,0.261799,128
281,2,10.1.2.2,0.264514,128
282,2,10.1.2.2,0.266123,128
283,2,10.1.2.2,0.267068,128
284,2,10.1.2.2,0.267879,128
285,2,10.1.2.2,0.270037,128
286,2,10.1.2.2,0.271763,128
287,2,10.1.2.2,0.272043,128
288,2,10.1.2.2,0.272323,128
289,2,10.1.2.2,0.274726,128
290,2,10.1.2.2,0.275603,128
291,2,10.1.2.2,0.277222,128
292,2,10.1.2.2,0.278353,128
293,2,10.1.2.2,0.279257,128
294,2,10.1.2.2,0.280326,128
295,2,10.1.2.2,0.281063,128
296,2,10.1.2.2,0.282176,128
297,2,10.1.2.2,0.283113,128
298,2,10.1.2.2,0.284523,128
299,2,10.1.2.2,0.284803,128
300,2,10.1.2.2,0.285083,128
301,2,10.1.2.2,0.285363,128
302,2,10.1.2.2,0.285747,128
303,2,10.1.2.2,0.286027,128
304,2,10.1.2.2,0.286659,128
305,2,10.1.2.2,0.286939,128
306,2,10.1.2.2,0.287907,128
307,2,10.1.2.2,0.288271,128
308,2,10.1.2.2,0.288551,128
309,2,10.1.2.2,0.288883,128
310,2,10.1.2.2,0.289163,128
311,2,10.1.2.2,0.289443,128
312,2,10.1.2.2,0.289723,128
313,2,10.1.2.2,0.290003,128
314,2,10.1.2.2,0.290308,128
315,2,10.1.2.2,0.290915,128
316,2,10.1.2.2,0.291195,128
317,2,10.1.2.2,0.291598,128
318,2,10.1.2.2,0.291878,128
319,2,10.1.2.2,0.292466,128
320,2,10.1.2.2,0.293848,128
321,2,10.1.2.2,0.294128,128
322,2,10.1.2.2,0.294408,128
323,2,10.1.2.2,0.295344,128
324,2,10.1.2.2,0.296498,128
325,2,10.1.2.2,0.298204,128
326,2,10.1.2.2,0.299171,128
327,2,10.1.2.2,0.301475,128
328,2,10.1.2.2,0.301784,128
329,2,10.1.2.2,0.302115,128
330,2,10.1.2.2,0.302395,128
331,2,10.1.2.2,0.3042,128
332,2,10.1.2.2,0.305389,128
333,2,10.1.2.2,0.306498,128
334,2,10.1.2.2,0.306778,128
335,2,10.1.2.2,0.307372,128
336,2,10.1.2.2,0.309489,128
337,2,10.1.2.2,0.309975,128
338,2,10.1.2.2,0.310255,128
339,2,10.1.2.2,0.310794,128
340,2,10.1.2.2,0.311357,128
341,2,10.1.2.2,0.311708,128
342,2,10.1.2.2,0.311989,128
343,2,10.1.2.2,0.314914,128
344,2,10.1.2.2,0.315332,128
345,2,10.1.2.2,0.315612,128
346,2,10.1.2.2,0.316634,128
347,2,10.1.2.2,0.318204,128
348,2,10.1.2.2,0.31972,128
349,2,10.1.2.2,0.320943,128
350,2,10.1.2.2,0.323492,128
351,2,10.1.2.2,0.326632,128
352,2,10.1.2.2,0.327397,128
353,2,10.1.2.2,0.327677,128
354,2,10.1.2.2,0.329003,128
355,2,10.1.2.2,0.32976,128
356,2,10.1.2.2,0.331315,128
357,2,10.1.2.2,0.331792,128
358,2,10.1.2.2,0.332072,128
359,2,10.1.2.2,0.33366,128
360,2,10.1.2.2,0.334198,128
361,2,10.1.2.2,0.335452,128
362,2,10.1.2.2,0.335732,128
363,2,10.1.2.2,0.338261,128
364,2,10.1.2.2,0.338541,128
365,2,10.1.2.2,0.338821,128
366,2,10.1.2.2,0.339101,128
367,2,10.1.2.2,0.34105,128
368,2,10.1.2.2,0.34148,128
369,2,10.1.2.2,0.34176,128
370,2,10.1.2.2,0.343259,128
371,2,10.1.2.2,0.343539,128
372,2,10.1.2.2,0.345957,128
373,2,10.1.2.2,0.346756,128
374,2,10.1.2.2,0.347453,128
375,2,10.1.2.2,0.347738,128
376,2,10.1.2.2,0.348673,128
377,2,10.1.2.2,0.349025,128
378,2,10.1.2.2,0.349394,128
379,2,10.1.2.2,0.349674,128
380,2,10.1.2.2,0.35072,128
381,2,10.1.2.2,0.352609,128
382,2,10.1.2.2,0.353184,128
383,2,10.1.2.2,0.353652,128
384,2,10.1.2.2,0.354131,128
385,2,10.1.2.2,0.354765,128
386,2,10.1.2.2,0.356002,128
387,2,10.1.2.2,0.356282,128
388,2,10.1.2.2,0.357587,128
389,2,10.1.2.2,0.357867,128
390,2,10.1.2.2,0.359231,128
391,2,10.1.2.2,0.359537,128
392,2,10.1.2.2,0.364509,128
393,2,10.1.2.2,0.365523,128
394,2,10.1.2.2,0.365803,128
395,2,10.1.2.2,0.366083,128
396,2,10.1.2.2,0.366363,128
397,2,10.1.2.2,0.366643,128
398,2,10.1.2.2,0.366923,128
399,2,10.1.2.2,0.367444,128
400,2,10.1.2.2,0.368952,128
401,2,10.1.2.2,0.369535,128
402,2,10.1.2.2,0.370336,128
403,2,10.1.2.2,0.372847,128
404,2,10.1.2.2,0.374263,128
405,2,10.1.2.2,0.374543,128
406,2,10.1.2.2,0.375633,128
407,2,10.1.2.2,0.376823,128
408,2,10.1.2.2,0.377103,128
409,2,10.1.2.2,0.377383,128
410,2,10.1.2.2,0.377966,128
411,2,10.1.2.2,0.380788,128
412,2,10.1.2.2,0.384604,128
413,2,10.1.2.2,0.386558,128
414,2,10.1.2.2,0.388145,128
415,2,10.1.2.2,0.389566,128
416,2,10.1.2.2,0.391791,128
417,2,10.1.2.2,0.392753,128
418,2,10.1.2.2,0.393138,128
419,2,10.1.2.2,0.394376,128
420,2,10.1.2.2,0.394956,128
421,2,10.1.2.2,0.395236,128
422,2,10.1.2.2,0.395816,128
423,2,10.1.2.2,0.396096,128
424,2,10.1.2.2,0.396687,128
425,2,10.1.2.2,0.396967,128
426,2,10.1.2.2,0.3973,128
427,2,10.1.2.2,0.398352,128
428,2,10.1.2.2,0.400711,128
429,2,10.1.2.2,0.400991,128
430,2,10.1.2.2,0.401511,128
431,2,10.1.2.2,0.403985,128
432,2,10.1.2.2,0.407022,128
433,2,10.1.2.2,0.408937,128
434,2,10.1.2.2,0.413659,128
435,2,10.1.2.2,0.41551,128
436,2,10.1.2.2,0.417227,128
437,2,10.1.2.2,0.417521,128
438,2,10.1.2.2,0.418708,128
439,2,10.1.2.2,0.419848,128
440,2,10.1.2.2,0.420758,128
441,2,10.1.2.2,0.421494,128
442,2,10.1.2.2,0.421774,128
443,2,10.1.2.2,0.422054,128
444,2,10.1.2.2,0.423094,128
445,2,10.1.2.2,0.425448,128
446,2,10.1.2.2,0.426693,128
447,2,10.1.2.2,0.427923,128
448,2,10.1.2.2,0.428479,128
449,2,10.1.2.2,0.429459,128
450,2,10.1.2.2,0.429739,128
451,2,10.1.2.2,0.431859,128
452,2,10.1.2.2,0.43375,128
453,2,10.1.2.2,0.434585,128
454,2,10.1.2.2,0.434865,128
455,2,10.1.2.2,0.435145,128
456,2,10.1.2.2,0.4364,128
457,2,10.1.2.2,0.438021,128
458,2,10.1.2.2,0.438301,128
459,2,10.1.2.2,0.438884,128
460,2,10.1.2.2,0.439164,128
461,2,10.1.2.2,0.440691,128
462,2,10.1.2.2,0.440971,128
463,2,10.1.2.2,0.441329,128
464,2,10.1.2.2,0.44178,128
465,2,10.1.2.2,0.442223,128
466,2,10.1.2.2,0.443152,128
467,2,10.1.2.2,0.443432,128
468,2,10.1.2.2,0.443766,128
469,2,10.1.2.2,0.444046,128
470,2,10.1.2.2,0.444326,128
471,2,10.1.2.2,0.444606,128
472,2,10.1.2.2,0.444886,128
473,2,10.1.2.2,0.44574,128
474,2,10.1.2.2,0.44602,128
475,2,10.1.2.2,0.449614,128
476,2,10.1.2.2,0.449894,128
477,2,10.1.2.2,0.450431,128
478,2,10.1.2.2,0.451045,128
479,2,10.1.2.2,0.453185,128
480,2,10.1.2.2,0.455505,128
481,2,10.1.2.2,0.456383,128
482,2,10.1.2.2,0.457027,128
483,2,10.1.2.2,0.458127,128
484,2,10.1.2.2,0.458588,128
485,2,10.1.2.2,0.460672,128
486,2,10.1.2.2,0.461387,128
487,2,10.1.2.2,0.461667,128
488,2,10.1.2.2,0.461947,128
489,2,10.1.2.2,0.462227,128
490,2,10.1.2.2,0.462572,128
491,2,10.1.2.2,0.462852,128
492,2,10.1.2.2,0.463132,128
493,2,10.1.2.2,0.465133,128
494,2,10.1.2.2,0.465413,128
495,2,10.1.2.2,0.465693,128
496,2,10.1.2.2,0.466192,128
497,2,10.1.2.2,0.466472,128
498,2,10.1.2.2,0.4674,128
499,2,10.1.2.2,0.468226,128
500,2,10.1.2.2,0.468506,128
501,2,10.1.2.2,0.468786,128
502,2,10.1.2.2,0.469103,128
503,2,10.1.2.2,0.469603,128
504,2,10.1.2.2,0.470102,128
505,2,10.1.2.2,0.470382,128
506,2,10.1.2.2,0.472138,128
507,2,10.1.2.2,0.473729,128
508,2,10.1.2.2,0.474009,128
509,2,10.1.2.2,0.474289,128
510,2,10.1.2.2,0.475211,128
511,2,10.1.2.2,0.475506,128
512,2,10.1.2.2,0.475786,128
513,2,10.1.2.2,0.476777,128
514,2,10.1.2.2,0.477057,128
515,2,10.1.2.2,0.478039,128
516,2,10.1.2.2,0.478915,128
517,2,10.1.2.2,0.479437,128
518,2,10.1.2.2,0.479809,128
519,2,10.1.2.2,0.480286,128
520,2,10.1.2.2,0.480793,128
521,2,10.1.2.2,0.484582,128
522,2,10.1.2.2,0.484862,128
523,2,10.1.2.2,0.485466,128
524,2,10.1.2.2,0.486029,128
525,2,10.1.2.2,0.486309,128
526,2,10.1.2.2,0.488198,128
527,2,10.1.2.2,0.489386,128
528,2,10.1.2.2,0.489926,128
529,2,10.1.2.2,0.490206,128
530,2,10.1.2.2,0.491339,128
531,2,10.1.2.2,0.492114,128
532,2,10.1.2.2,0.493064,128
533,2,10.1.2.2,0.494332,128
534,2,10.1.2.2,0.495531,128
535,2,10.1.2.2,0.497513,128
536,2,10.1.2.2,0.498298,128
537,2,10.1.2.2,0.499829,128
538,2,10.1.2.2,0.500109,128
539,2,10.1.2.2,0.500389,128
540,2,10.1.2.2,0.502219,128
541,2,10.1.2.2,0.505033,128
542,2,10.1.2.2,0.505653,128
543,2,10.1.2.2,0.505933,128
544,2,10.1.2.2,0.506551,128
545,2,10.1.2.2,0.507648,128
546,2,10.1.2.2,0.514151,128
547,2,10.1.2.2,0.518176,128
548,2,10.1.2.2,0.518471,128
549,2,10.1.2.2,0.519934,128
